REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Canadian and foreign direct investment,Countries or regions,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,1079053,,,,0
2021,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,1216525,,,,0
2022,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,1307874,,,,0
2023,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,1360269,,,,0
1999,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,596,,,,0
2000,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,464,,,,0
2001,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,502,,,,0
2002,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,596,,,,0
2003,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,571,,,,0
2004,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,611,,,,0
2005,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,695,,,,0
